County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Webster,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,2611.0,0.0,0.0,13307.0
White,2020-03-30 19:07:00,0.0,0.0,3.0,0.0,0.0003,3e-05,29970.0,1.0,0.0,13311.0
Washington,2020-03-30 19:07:00,0.0,0.0,10.0,0.0,0.0007,0.0001,20386.0,2.0,0.0,13303.0
Wilcox,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,8812.0,0.0,0.0,13315.0
Wilkes,2020-03-30 19:07:00,0.0,0.0,20.0,0.0,0.0007,0.0002,9876.0,2.0,0.0,13317.0
Wilkinson,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,9036.0,0.0,0.0,13319.0
Whitfield,2020-03-30 19:07:00,12.0,1.0,8.0,0.125,0.0026,8e-05,104062.0,8.0,1.0,13313.0
Warren,2020-03-30 19:07:00,0.0,0.0,38.0,0.0,0.0007,0.00038,5251.0,2.0,0.0,13301.0
Appling,2020-03-30 19:07:00,0.0,0.0,11.0,0.0,0.0007,0.00011,18507.0,2.0,0.0,13001.0
Walton,2020-03-30 19:07:00,0.0,0.0,5.0,0.0,0.0016,5e-05,93503.0,5.0,0.0,13297.0
Crawford,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,12318.0,0.0,0.0,13079.0
Crisp,2020-03-30 19:07:00,0.0,0.0,35.0,0.0,0.0026,0.00035,22601.0,8.0,0.0,13081.0
Dade,2020-03-30 19:07:00,0.0,0.0,6.0,0.0,0.0003,6e-05,16226.0,1.0,0.0,13083.0
Dawson,2020-03-30 19:07:00,0.0,0.0,28.0,0.0,0.0023,0.00028,25083.0,7.0,0.0,13085.0
Decatur,2020-03-30 19:07:00,0.0,0.0,23.0,0.0,0.002,0.00023,26575.0,6.0,0.0,13087.0
Dekalb,2020-03-30 19:07:00,1.0,0.0,39.0,0.0102,0.097,0.00039,756558.0,294.0,3.0,13089.0
Dodge,2020-03-30 19:07:00,0.0,0.0,10.0,0.0,0.0007,0.0001,20705.0,2.0,0.0,13091.0
Dooly,2020-03-30 19:07:00,0.0,0.0,22.0,0.0,0.001,0.00022,13706.0,3.0,0.0,13093.0
Dougherty,2020-03-30 19:07:00,6.0,20.0,305.0,0.0647,0.0917,0.00305,91243.0,278.0,18.0,13095.0
Douglas,2020-03-30 19:07:00,2.0,1.0,30.0,0.0233,0.0142,0.0003,145331.0,43.0,1.0,13097.0
Early,2020-03-30 19:07:00,5.0,10.0,195.0,0.05,0.0066,0.00195,10247.0,20.0,1.0,13099.0
Echols,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,13101.0
Effingham,2020-03-30 19:07:00,0.0,0.0,6.0,0.0,0.0013,6e-05,62190.0,4.0,0.0,13103.0
Elbert,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,19120.0,0.0,0.0,13105.0
Emanuel,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,22612.0,0.0,0.0,13107.0
Evans,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,10721.0,0.0,0.0,13109.0
